time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points
2018-10-11,6581.59,6171.95,6581.07,104258.49,654924117.8,6209.47,137878525.33,650405054.58,788283579.91,438544259.9,1060019822.35,1498564082.25,893419055.58,2184581106.26,3078000159.94,421382018,444032743,346437,699363,262467,348051648,9580,4.04349274490603,545389,58858858.5687817,7454968648263.24,543.993670886076,920825,17317346.0449785,78855,30361,58128,3000850
2018-10-12,6296.56,6173.86,6209.47,46195.91,289840137.45,6250.85,96128955.23,332170030.47,428298985.7,386022586.32,700246369.9,1086268956.22,789828694.5,1463881876.02,2253710570.52,421726042,444361807,329064,704003,243174,348294822,8547,4.59901926289106,545521,48745687.2483552,7454968648263.24,656.854961832061,1128503,17318996.0449784,78873,30368,58143,3001580
2018-10-13,6280.73,6238.92,6252.1,21914.85,137705035.59,6267.27,82907494.59,175747911.84,258655404.43,343145839.26,481580316.81,824726156.07,700985860.25,1024059941.41,1725045801.66,422000283,444637240,275433,583522,205097,348499919,5279,3.34067187597824,545662,53853917.3105642,7454968648263.24,594.55,862022,17320758.5449785,78877,30383,58154,3002270
2018-10-14,6346.56,6247.17,6267.27,34130.1,215422888.18,6277.73,87559865.06,189808156.73,277368021.79,327677101.84,504735286.03,832412387.87,666532612.29,1068507503.08,1735040115.38,422248928,444895302,258062,533594,191259,348691178,5258,3.46422709787085,545776,41941062.7317577,7454968648263.24,763.424778761062,957302,17322183.5449785,78888,30388,58159,3002630
2018-10-15,7234.83,6244.77,6277.73,177320.05,1190524168.21,6612.36,139201050.63,896934808.77,1036135859.4,544712676.58,1442565194.72,1987277871.3,1116389171.15,2983128547.96,4099517721.22,422599528,445246956,351654,716731,266945,348958123,10864,4.81000426933233,545938,60242772.5801539,7454968648263.24,531.496894409938,943760,17324208.5449784,78920,30405,58173,3003725
2018-10-16,6724.91,6545.54,6612.69,49191.34,324232509.78,6583.05,89084122.04,282625603.24,371709725.28,473357074.53,628032078.15,1101389152.68,970160536.64,1325957655.0,2296118191.64,422953640,445596420,349464,694685,257967,349216090,8680,3.20910681365744,546073,50246228.3166349,7454968648263.24,637.238805970149,1066273,17325896.0449785,78931,30416,58182,3004335
2018-10-17,6589.2,6511.6,6583.05,33538.55,220418636.64,6574.52,103841853.49,249359823.69,353201677.18,461785048.39,600912755.32,1062697803.71,948213079.76,1249112117.62,2197325197.38,423301020,445946844,350424,688109,260362,349476452,8980,3.43276040819386,546211,50845952.0536031,7454968648263.24,629.722627737226,1049207,17327621.0449785,78933,30424,58195,3004880
2018-10-18,6616.27,6445.05,6576.4,50725.31,331761115.45,6488.72,89222836.27,286220856.81,375443693.08,261898215.18,606050666.02,867948881.2,542316677.24,1276077023.72,1818393702.98,423629273,446288270,341426,670447,253450,349729902,8403,3.88763214405496,546349,51133009.3818174,7427362643331.73,623.868613138686,996208,17329346.0449785,78941,30432,58200,3005285
2018-10-19,6503.09,6449.36,6489.37,36599.64,237855085.41,6469.28,76135916.25,228920040.43,305055954.66,252071276.47,498114928.22,750186204.7,529314607.37,1084570827.28,1613885434.65,423960720,446628819,340549,701213,253826,349983728,8415,3.78788017257913,546491,52400452.0434537,7182852313938.32,588.737588652482,1018147,17331121.0449785,78946,30444,58209,3005860
2018-10-20,6645.2,6395.45,6469.28,19543.75,127185847.78,6490.56,73846663.34,182992938.28,256839601.62,285272263.18,411609880.34,696882145.57,597821622.4,908190789.53,1506012413.98,424257614,446935934,307115,611379,227821,350211549,5871,2.96192875348032,546634,50872901.7292976,7182852313938.32,606.415492957746,887885,17332908.5449785,78949,30451,58217,3006265
2018-10-21,6557.39,6474.47,6490.6,16019.49,105283929.06,6509.87,74249345.65,173946099.8,248195445.45,308506105.15,427584420.3,736090525.45,648642181.0,926736993.3,1575379172.25,424520112,447218470,282536,572486,211505,350423054,5315,2.54661890387783,546772,49667616.9212026,7182852313938.32,621.131386861313,823540,17334633.5449784,78953,30452,58234,3006755
2018-10-22,6531.23,6460.38,6509.87,31239.03,202766914.4,6483.23,84819189.95,212438530.93,297257720.88,372575624.36,494151567.54,866727191.9,1561453028.48,1066966273.57,2628419302.06,424857358,447563271,344801,692314,255324,350678378,9518,3.43572438461469,546927,55355228.3710752,7182852313938.32,557.311688311688,916539,17336571.0449785,78954,30458,58249,3007290
2018-10-23,6496.2,6438.99,6484.32,34071.62,220913293.6,6470.22,88242669.68,201013491.49,289256161.17,323769479.01,440248058.34,764017537.35,673367438.37,954663903.6,1628031344.01,425196031,447903004,339733,697985,253463,350931841,8654,4.01612247864501,547081,55875982.1293598,7182852313938.32,552.117647058824,932260,17338496.0449777,78960,30471,58277,3008375
2018-10-24,6538.35,6465.73,6470.63,34111.66,222068131.83,6476.25,79973483.04,184500715.49,264474198.52,310484048.6,416285361.37,726769409.97,652980266.89,893115377.87,1546095644.76,425513138,448240666,337662,652136,254091,351185932,8634,3.94944461373606,547194,41335243.0601825,7182852313938.32,746.339285714286,1141656,17339908.5449777,78964,30479,58308,3009390
2018-10-25,6497.9,6432.3,6476.52,35706.92,231214963.95,6462.77,81922772.53,179710805.17,261633577.71,309535326.84,428843626.01,738378952.85,651961858.57,913877023.59,1565838882.16,425836580,448574540,333874,674946,254599,351440531,9074,3.96988217128618,547331,49173326.6074724,7182852313938.32,627.375,1035430,17341621.0449777,78967,30488,58327,3010120
2018-10-26,6514.0,6441.81,6462.77,33284.54,215447656.36,6457.21,82138964.42,223313919.7,305452884.11,290538025.92,450781132.14,741319158.06,614284794.56,959546481.5,1573831276.06,426177450,448908333,333793,705500,253002,351693533,7508,3.26636871787654,547474,51601583.612834,7182852313938.32,597.852112676056,1058047,17343408.5449777,78975,30494,58351,3010950
2018-10-27,6479.0,6445.95,6457.21,19092.86,124066466.34,6470.17,84209784.36,132117996.17,216327780.53,277876985.12,336992903.96,614869887.06,590391563.33,729297001.95,1319688565.28,426481208,449214750,306417,599637,233749,351927282,4994,2.47019970684332,547610,48785456.4344083,7182852313938.32,632.362962962963,913874,17345108.5449777,78977,30498,58374,3011645
