time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points,actadd7,actadd14,actadd21,actadd28,volumefrom7,volumefrom14,volumeto7,volumeto14,large_transaction_count7,difficulty7,difficulty14,difficulty28,average_transaction_value28,closesma3,closesma5,closesma7,closesma14,closesma21,closesma28,closesma60,close_shift,block_time7,block_time14,block_time28,block_time60,block_time100,block_size7,block_size14,block_size28,block_size60,block_size100,comments3,comments5,comments7
2018-10-14,200.130000,193.920000,199.300000,1074393.910000,209424639.040000,194.920000,87559865.060000,189808156.730000,277368021.790000,327677101.840000,504735286.030000,832412387.870000,666532612.290000,1068507503.080000,1735040115.380000,38214674.000000,65904912.000000,78226.000000,286827.000000,493709.000000,315544444.000000,191.000000,2.555569,6516497.000000,230.441569,3220776039519710.000000,13.976541,15242.000000,102574706.905730,196100,80793,59483,5467900,277388.857143,279068.642857,279068.642857,279068.642857,1208974.477143,1170573.102143,254521585.678571,254749217.840000,545.428571,3252855838608963.500000,3251093292303628.000000,3251093292303628.000000,3.158258,196.643333,200.992000,208.837143,217.133571,217.133571,217.133571,217.133571,199.300000,14.009874,14.016702,14.016702,14.016702,14.016702,17581.714286,18854.846154,18854.846154,18854.846154,18854.846154,195949.333333,195622.200000,195282.142857
2018-10-15,232.030000,192.880000,194.990000,1644889.630000,352120919.310000,210.800000,139201050.630000,896934808.770000,1036135859.400000,544712676.580000,1442565194.720000,1987277871.300000,1116389171.150000,2983128547.960000,4099517721.220000,38250557.000000,65973107.000000,68195.000000,298337.000000,547613.000000,316092057.000000,1155.000000,6.953471,6522592.000000,226.857315,3215462336329750.000000,14.173942,17580.000000,102595024.030730,196479,80985,59507,5477090,279862.285714,283579.357143,280353.200000,280353.200000,1272470.307143,1221589.019286,265514645.478571,264547621.725714,631.285714,3239121589849384.500000,3249293987654124.500000,3248717895238703.000000,3.411272,201.673333,198.112000,206.204286,215.693571,216.711333,216.711333,216.711333,194.920000,14.037706,14.027933,14.027933,14.027933,14.027933,17659.571429,18763.785714,18763.785714,18763.785714,18763.785714,196180.000000,195950.200000,195594.571429
2018-10-16,210.590000,207.700000,209.890000,1238103.590000,259593356.150000,209.670000,89084122.040000,282625603.240000,371709725.280000,473357074.530000,628032078.150000,1101389152.680000,970160536.640000,1325957655.000000,2296118191.640000,38287482.000000,66041589.000000,68482.000000,304838.000000,561210.000000,316653267.000000,605.000000,4.536388,6528706.000000,226.840178,3205597182439020.000000,14.131523,17644.000000,102615404.999480,196742,81054,59528,5481970,283588.000000,288366.500000,281883.500000,281883.500000,1279512.445714,1229606.519286,263934369.697143,264948763.551429,640.142857,3227155288945820.000000,3248841995061513.500000,3246022850688722.500000,3.481592,205.130000,202.080000,203.632857,214.556429,216.271250,216.271250,216.271250,210.800000,14.049501,14.038611,14.034839,14.034839,14.034839,17573.857143,18302.214286,18689.133333,18689.133333,18689.133333,196440.333333,196213.800000,195904.571429
2018-10-17,210.320000,207.160000,209.600000,1231933.800000,255940199.650000,207.750000,103841853.490000,249359823.690000,353201677.180000,461785048.390000,600912755.320000,1062697803.710000,948213079.760000,1249112117.620000,2197325197.380000,38318501.000000,66104924.000000,63335.000000,308024.000000,566240.000000,317219507.000000,507.000000,3.705641,6534836.000000,226.314332,3189854172662090.000000,14.094795,17763.000000,102635802.280729,196972,81119,59544,5486295,290575.571429,289749.571429,283421.176471,283421.176471,1283961.364286,1228618.076429,261865358.455714,263651770.075714,632.285714,3212147242860719.000000,3246254065507132.000000,3242718810804803.000000,3.494771,209.406667,204.488000,201.140000,213.680000,215.770000,215.770000,215.770000,209.670000,14.061908,14.029494,14.038586,14.038586,14.038586,17702.000000,18040.857143,18631.250000,18631.250000,18631.250000,196731.000000,196450.800000,196209.285714
2018-10-18,205.820000,201.090000,207.810000,1096643.560000,221799891.230000,202.250000,89222836.270000,286220856.810000,375443693.080000,261898215.180000,606050666.020000,867948881.200000,542316677.240000,1276077023.720000,1818393702.980000,38369323.000000,66183686.000000,78762.000000,316672.000000,551005.000000,317770512.000000,702.000000,4.636830,6540978.000000,230.123366,3237578316538160.000000,14.068881,17768.000000,102656241.749480,197300,81205,59558,5492075,296301.571429,291318.428571,285268.444444,285268.444444,1242096.470000,1216659.580000,253453006.501429,259432186.007857,578.285714,3214701390312415.000000,3244527269622244.000000,3242433227789989.500000,3.558219,206.556667,205.078000,202.914286,212.255000,215.018889,215.018889,215.018889,207.750000,14.062258,14.030218,14.040368,14.040368,14.040368,17645.285714,17691.857143,18580.470588,18580.470588,18580.470588,197004.666667,196718.600000,196477.285714
2018-10-19,203.460000,200.940000,202.270000,747920.050000,151832262.460000,203.010000,76135916.250000,228920040.430000,305055954.660000,252071276.470000,498114928.220000,750186204.700000,529314607.370000,1084570827.280000,1613885434.650000,38398603.000000,66250017.000000,66331.000000,287642.000000,587994.000000,318358506.000000,493.000000,3.323508,6547043.000000,225.604930,3213605312716170.000000,14.244393,18544.000000,102676535.343229,197471,81272,59574,5495860,297721.142857,289334.000000,285393.368421,285393.368421,1159184.657143,1178565.570000,238005102.107143,249395876.597143,562.857143,3211329496104501.500000,3239998986545867.500000,3240915969101894.000000,3.545865,204.336667,206.696000,203.957143,210.457857,214.386842,214.386842,214.386842,202.250000,14.096708,14.035856,14.051703,14.051703,14.051703,17408.571429,17527.214286,18578.444444,18578.444444,18578.444444,197247.666667,196992.800000,196717.857143
2018-10-20,206.080000,203.280000,203.010000,729710.890000,149570216.480000,204.970000,73846663.340000,182992938.280000,256839601.620000,285272263.180000,411609880.340000,696882145.570000,597821622.400000,908190789.530000,1506012413.980000,38473424.000000,66366724.000000,116707.000000,344065.000000,520356.000000,318878862.000000,348.000000,2.992803,6553201.000000,225.149012,3157205682243970.000000,14.022738,15752.000000,102696985.311980,197587,81312,59598,5498620,306629.285714,290592.714286,288326.950000,288326.950000,1109085.061429,1158816.447857,228611640.617143,243905076.065000,571.571429,3205725577492696.000000,3233184499125527.500000,3236730454758997.500000,3.518212,203.410000,205.530000,204.767143,209.023571,213.916000,213.916000,213.916000,203.010000,14.101831,14.046344,14.050179,14.050179,14.050179,17184.714286,17394.571429,18429.684211,18429.684211,18429.684211,197452.666667,197214.400000,196950.142857
2018-10-21,207.270000,204.670000,204.970000,798148.740000,163617144.500000,205.000000,74249345.650000,173946099.800000,248195445.450000,308506105.150000,427584420.300000,736090525.450000,648642181.000000,926736993.300000,1575379172.250000,38535879.000000,66461172.000000,94448.000000,308777.000000,488936.000000,319367798.000000,217.000000,4.268474,6559325.000000,221.759199,3128314975529840.000000,14.106810,16115.000000,102717340.030729,197733,81358,59621,5501805,309765.000000,293576.928571,289300.761905,289300.761905,1069621.465714,1139297.971429,222067712.825714,238294649.252143,575.285714,3192516854065571.500000,3222686346337267.500000,3231567812890942.500000,3.553939,204.326667,204.596000,206.207143,207.522143,213.491429,213.491429,213.491429,204.970000,14.120440,14.065157,14.053010,14.053010,14.053010,17309.428571,17445.571429,18313.950000,18313.950000,18313.950000,197597.000000,197412.600000,197183.428571
2018-10-22,204.740000,203.120000,205.000000,940433.890000,191508315.640000,203.640000,84819189.950000,212438530.930000,297257720.880000,372575624.360000,494151567.540000,866727191.900000,1561453028.480000,1066966273.570000,2628419302.060000,38587396.000000,66544262.000000,83090.000000,333039.000000,555507.000000,319923305.000000,448.000000,3.167623,6565390.000000,218.673479,3114618582178050.000000,14.243239,19570.000000,102737590.686979,197905,81409,59654,5505625,314722.428571,297292.357143,293960.380952,291288.863636,968984.931429,1120727.619286,199123055.158571,232318850.318571,474.285714,3178110603472471.500000,3208616096660928.000000,3226251938767629.000000,3.536379,204.536667,203.774000,205.184286,205.694286,212.190476,213.043636,213.043636,205.000000,14.130340,14.084023,14.062069,14.062069,14.062069,17593.714286,17626.642857,18373.761905,18373.761905,18373.761905,197741.666667,197599.200000,197387.142857
2018-10-23,205.560000,201.220000,203.670000,871510.030000,177173032.300000,203.290000,88242669.680000,201013491.490000,289256161.170000,323769479.010000,440248058.340000,764017537.350000,673367438.370000,954663903.600000,1628031344.010000,38634966.000000,66624589.000000,80327.000000,313342.000000,543292.000000,320466597.000000,426.000000,3.419475,6571558.000000,221.327050,3099870696459610.000000,14.005838,17616.000000,102758166.561979,198098,81478,59700,5510430,315937.285714,299762.642857,297556.761905,292247.695652,916614.422857,1098063.434286,187348723.180000,225641546.438571,448.714286,3163006819761127.000000,3195081054353473.500000,3220757102145541.500000,3.531296,203.976667,203.982000,204.272857,203.952857,211.128571,212.619565,212.619565,203.640000,14.112385,14.080943,14.059513,14.059513,14.059513,17589.714286,17581.785714,18339.318182,18339.318182,18339.318182,197912.000000,197758.800000,197580.857143
