time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points,actadd7,actadd14,actadd21,actadd28,volumefrom7,volumefrom14,volumeto7,volumeto14,large_transaction_count7,difficulty7,difficulty14,difficulty28,average_transaction_value28,closesma3,closesma5,closesma7,closesma14,closesma21,closesma28,closesma60,close_shift,block_time7,block_time14,block_time28,block_time60,block_time100,block_size7,block_size14,block_size28,block_size60,block_size100,comments3,comments5,comments7
2018-10-12,6296.560000,6173.860000,6209.470000,46195.910000,289840137.450000,6250.850000,675167997.860000,795261203.320000,1470429263.690000,1353554058.320000,1656743411.470000,3010297469.790000,2751788004.780000,5099122198.820000,7850910203.600000,421726042.000000,444361807.000000,329064.000000,704003.000000,243174.000000,348294822.000000,8547.000000,4.599019,545521.000000,48745687.248355,7454968648263.240234,656.854962,1128503.000000,17318996.044978,195787,80687,59457,5461470,650037.571429,664452.000000,664452.000000,664452.000000,47314.305714,44984.296667,305430613.397143,292391851.101667,7534.714286,7454968648263.240234,7371826441765.112305,7371826441765.112305,3.568915,6347.130000,6464.650000,6502.048571,6528.309167,6528.309167,6528.309167,6528.309167,6209.470000,626.459399,622.230976,622.230976,622.230976,622.230976,947402.428571,931557.000000,931557.000000,931557.000000,931557.000000,195350.000000,194982.800000,194665.857143
2018-10-13,6280.730000,6238.920000,6252.100000,21914.850000,137705035.590000,6267.270000,546279444.860000,548208322.550000,1094487767.410000,1183814163.960000,1204014389.910000,2387828553.870000,2426552135.020000,3347302717.220000,5773854852.240000,422000283.000000,444637240.000000,275433.000000,583522.000000,205097.000000,348499919.000000,5279.000000,3.340672,545662.000000,53853917.310564,7454968648263.240234,594.550000,862022.000000,17320758.544978,195961,80740,59473,5464935,648043.714286,658226.615385,658226.615385,658226.615385,46903.911429,43209.723846,301856746.484286,280492865.293077,7458.714286,7454968648263.241211,7378221996111.121094,7378221996111.121094,3.551358,6242.530000,6388.090000,6455.952857,6508.229231,6508.229231,6508.229231,6508.229231,6250.850000,612.675067,619.924228,619.924228,619.924228,619.924228,938819.714286,925762.416667,925762.416667,925762.416667,925762.416667,195724.000000,195316.600000,194976.714286
2018-10-14,6346.560000,6247.170000,6267.270000,34130.100000,215422888.180000,6277.730000,579504601.240000,628851514.010000,1208356115.260000,1175914627.160000,1316950674.340000,2492865238.720000,2401292870.090000,4054951601.850000,6456244471.940000,422248928.000000,444895302.000000,258062.000000,533594.000000,191259.000000,348691178.000000,5258.000000,3.464227,545776.000000,41941062.731758,7454968648263.240234,763.424779,957302.000000,17322183.544978,196100,80793,59483,5467900,637467.142857,649324.285714,649324.285714,649324.285714,47883.544286,42561.179286,307005893.454286,275845009.785000,7521.857143,7454968648263.240234,7383703899836.273438,7383703899836.273438,3.545134,6265.283333,6317.278000,6409.750000,6491.765000,6491.765000,6491.765000,6491.765000,6267.270000,635.963713,630.962732,630.962732,630.962732,630.962732,956735.285714,928188.538462,928188.538462,928188.538462,928188.538462,195949.333333,195622.200000,195282.142857
2018-10-15,7234.830000,6244.770000,6277.730000,177320.050000,1190524168.210000,6612.360000,1051322127.410000,2402778481.740000,3454100609.160000,1956324564.150000,3529519930.970000,5485844495.120000,3978804996.620000,11019973368.680000,14998778365.299999,422599528.000000,445246956.000000,351654.000000,716731.000000,266945.000000,348958123.000000,10864.000000,4.810004,545938.000000,60242772.580154,7454968648263.240234,531.496894,943760.000000,17324208.544978,196479,80985,59507,5477090,646050.428571,651735.214286,653818.066667,653818.066667,66469.720000,52446.398571,432293998.377143,342528169.540714,7961.428571,7454968648263.240234,7405299278147.475586,7388454883064.737305,3.629459,6385.786667,6323.536000,6404.362857,6493.006429,6499.804667,6499.804667,6499.804667,6277.730000,620.272438,623.858029,623.858029,623.858029,623.858029,953675.714286,929300.785714,929300.785714,929300.785714,929300.785714,196180.000000,195950.200000,195594.571429
2018-10-16,6724.910000,6545.540000,6612.690000,49191.340000,324232509.780000,6583.050000,697706068.350000,1028505647.460000,1726211715.810000,1349109069.580000,1716990640.190000,3066099709.770000,2747603390.290000,5693448287.470000,8441051677.760000,422953640.000000,445596420.000000,349464.000000,694685.000000,257967.000000,349216090.000000,8680.000000,3.209107,546073.000000,50246228.316635,7454968648263.240234,637.238806,1066273.000000,17325896.044978,196742,81054,59528,5481970,655004.142857,652302.714286,656372.250000,656372.250000,68896.447143,53058.337143,448044831.455714,346604328.968571,8082.571429,7454968648263.240234,7426894656458.677734,7392611993389.643555,3.603187,6491.046667,6398.252000,6397.400000,6497.119286,6505.007500,6505.007500,6505.007500,6612.360000,617.980972,624.638217,624.750081,624.750081,624.750081,967941.428571,932939.214286,938432.266667,938432.266667,938432.266667,196440.333333,196213.800000,195904.571429
2018-10-17,6589.200000,6511.600000,6583.050000,33538.550000,220418636.640000,6574.520000,832159152.530000,883751580.560000,1715910733.100000,1547877507.310000,1604817912.890000,3152695420.190000,3156854330.050000,4827522109.300000,7984376505.100000,423301020.000000,445946844.000000,350424.000000,688109.000000,260362.000000,349476452.000000,8980.000000,3.432760,546211.000000,50845952.053603,7454968648263.240234,629.722628,1049207.000000,17327621.044978,196972,81119,59544,5486295,660001.000000,651214.357143,658239.117647,658239.117647,66649.898571,52083.519286,433295356.235714,340463849.686429,8169.714286,7454968648263.241211,7448490034769.879883,7396280031911.620117,3.593162,6589.976667,6462.986000,6396.464286,6502.995000,6509.096471,6509.096471,6509.096471,6583.050000,622.468820,627.057889,625.060865,625.060865,625.060865,989698.857143,948009.357143,945355.687500,945355.687500,945355.687500,196731.000000,196450.800000,196209.285714
2018-10-18,6616.270000,6445.050000,6576.400000,50725.310000,331761115.450000,6488.720000,747296927.970000,895539328.170000,1642836321.020000,1331670596.960000,1545791933.120000,2877462530.080000,2726217020.490000,4772526622.990000,7498743643.470000,423629273.000000,446288270.000000,341426.000000,670447.000000,253450.000000,349729902.000000,8403.000000,3.887632,546349.000000,51133009.381817,7427362643331.730469,623.868613,996208.000000,17329346.044978,197300,81205,59558,5492075,655870.142857,652463.785714,658917.333333,658917.333333,59002.301429,52696.544286,387129213.042857,344331499.472143,8001.571429,7451024933273.024414,7452996790768.132812,7398006843657.182617,3.609521,6548.763333,6507.276000,6436.357143,6496.490000,6507.964444,6507.964444,6507.964444,6574.520000,633.879526,630.319357,624.990733,624.990733,624.990733,1000467.857143,962121.357143,948347.000000,948347.000000,948347.000000,197004.666667,196718.600000,196477.285714
2018-10-19,6503.090000,6449.360000,6489.370000,36599.640000,237855085.410000,6469.280000,549079428.380000,899345396.650000,1448424825.030000,1040463424.080000,1452305357.940000,2492768782.030000,2185406561.180000,4418729203.220000,6604135764.400000,423960720.000000,446628819.000000,340549.000000,701213.000000,253826.000000,349983728.000000,8415.000000,3.787880,546491.000000,52400452.043454,7182852313938.320312,588.737589,1018147.000000,17331121.044978,197471,81272,59574,5495860,655471.571429,652754.571429,661143.421053,661143.421053,57631.405714,52472.855714,379702777.037143,342566695.217143,7982.714286,7412151171226.607422,7433559909744.923828,7386682921040.399414,3.618909,6510.840000,6545.586000,6467.561429,6484.805000,6505.928421,6505.928421,6505.928421,6488.720000,624.148473,625.303936,622.976669,622.976669,622.976669,984702.714286,966052.571429,952224.777778,952224.777778,952224.777778,197247.666667,196992.800000,196717.857143
2018-10-20,6645.200000,6395.450000,6469.280000,19543.750000,127185847.780000,6490.560000,559453170.140000,740813111.630000,1300266281.770000,1066469170.950000,1210652223.240000,2277121459.100000,2247395862.600000,4048038951.360000,6295434813.960000,424257614.000000,446935934.000000,307115.000000,611379.000000,227821.000000,350211549.000000,5871.000000,2.961929,546634.000000,50872901.729298,7182852313938.320312,606.415493,887885.000000,17332908.544978,197587,81312,59598,5498620,659451.142857,653747.428571,658655.200000,658655.200000,57292.677143,52098.294286,378200035.921429,340028391.202857,8067.285714,7373277409180.189453,7414123028721.715820,7376491390685.294922,3.586060,6482.853333,6521.226000,6499.460000,6477.706429,6505.160000,6505.160000,6505.160000,6469.280000,625.843543,619.259305,622.105028,622.105028,622.105028,988397.428571,963608.571429,948838.473684,948838.473684,948838.473684,197452.666667,197214.400000,196950.142857
2018-10-21,6557.390000,6474.470000,6490.600000,16019.490000,105283929.060000,6509.870000,570711384.380000,636182969.730000,1206894354.110000,1153977964.430000,1216716120.470000,2370694084.910000,2442609465.080000,3570284169.580000,6012893634.660000,424520112.000000,447218470.000000,282536.000000,572486.000000,211505.000000,350423054.000000,5315.000000,2.546619,546772.000000,49667616.921203,7182852313938.320312,621.131387,823540.000000,17334633.544978,197733,81358,59621,5501805,665007.142857,651237.142857,654551.904762,654551.904762,54705.447143,51294.495714,362465898.904286,334735896.179286,8075.428571,7334403647133.773438,7394686147698.506836,7367270482268.773438,3.536563,6489.903333,6506.590000,6532.622857,6471.186429,6505.384286,6505.384286,6505.384286,6490.560000,605.515916,620.739815,622.056346,622.056346,622.056346,969288.571429,963011.928571,942573.550000,942573.550000,942573.550000,197597.000000,197412.600000,197183.428571
